,Worldcup,Date,Source,Likes,Retweets,Subjectivity,Polarity,Analysis
0,": 4th July 1998
World Cup 1/4 finals
🇦🇷 vs 🇳🇱
Do you remember ? ",2022-12-09 10:01:20+00:00,Twitter for Android,0,96,0.0,0.0,Neutral
1,_NDTV: Croatia take on Brazil in the first quarter-final of the ongoing FIFAWorldCup at the Education City Stadium on Friday…,2022-12-09 10:01:18+00:00,TweetDeck,0,1,0.3333333333333333,0.25,Positive
2,": The World Cup Quarter finals are back!!
Bet on these games with  💪🏾

KagwirawoUpdates ",2022-12-09 10:01:06+00:00,Twitter for Android,0,1,0.0,0.0,Neutral
3,": Preview the games as the Quarter finals come knocking. Force of nature Mbappe, or virtuoso Messi, or the flair of Samba, or…",2022-12-09 10:01:05+00:00,Twitter for Android,0,2,0.0,0.0,Neutral
4,"_EN: 🇭🇷 🆚 🇧🇷
🇳🇱 🆚 🇦🇷

Watch the FIFA World Cup Qatar 2022™ quarter-finals 𝗟𝗜𝗩𝗘 on beIN SPORTS!

FIFAWorldCup Qatar2022",2022-12-09 10:01:01+00:00,Twitter for iPhone,0,2,0.0,0.0,Neutral
5,"🌍 𝗙𝗿𝗶𝗱𝗮𝘆 𝗪𝗼𝗿𝗹𝗱 𝗖𝘂𝗽 𝗗𝗼𝘂𝗯𝗹𝗲 🌍

📊 The oddschecker team have picked out a 4/1 Friday double covering action in the Worl… ",2022-12-09 10:01:00+00:00,TweetDeck,0,0,0.05,0.05,Positive
6,"🇦🇷 vs 🇳🇱
Toby is back with his quarter finals predictions 🐧

Do you think he will get it right?

Watch the FIFA… ",2022-12-09 10:01:00+00:00,Twitter Web App,0,0,0.26785714285714285,0.14285714285714285,Positive
7,"As England makes it through to the Quarter Finals, more venues may think about showing matches ⚽️🏴󠁧󠁢󠁥󠁮󠁧󠁿

Our team… ",2022-12-09 10:00:48+00:00,Hootsuite Inc.,0,0,0.5,0.5,Positive
8,"today Quater-finals World Cup 2022! Who you favorit team?
🇧🇷vs 🇭🇷
🇦🇷 vs🇳🇱",2022-12-09 10:00:40+00:00,Twitter Web App,0,0,0.0,0.0,Neutral
9,": Poolies... Make sure your Quarter Finals Knockout Stage picks are in for the ATO x CCSG World Cup Pool.

🔗: ",2022-12-09 10:00:19+00:00,Twitter for Android,0,1,0.8888888888888888,0.5,Positive
10,"The World Cup Quarter finals are back!!
Bet on these games with  💪🏾

KagwirawoUpdates ",2022-12-09 10:00:13+00:00,Twitter for iPhone,2,1,0.0,0.0,Neutral
11,"_EN: 🇭🇷 🆚 🇧🇷
🇳🇱 🆚 🇦🇷

Watch the FIFA World Cup Qatar 2022™ quarter-finals 𝗟𝗜𝗩𝗘 on beIN SPORTS!

FIFAWorldCup Qatar2022",2022-12-09 10:00:13+00:00,Twitter for Android,0,2,0.0,0.0,Neutral
12,": 🇧🇷 vs 🇭🇷
Toby is back with his quarter finals predictions 🐧

Do you think he will get it right?

Watch the FIFA WorldCup …",2022-12-09 10:00:12+00:00,infolinity,0,1,0.26785714285714285,0.14285714285714285,Positive
13,": Good morning. Who better to look forward to these quarter finals, back to previous World Cup finals, talk Messi, Maradona, Mba…",2022-12-09 10:00:08+00:00,Twitter for Android,0,25,0.3166666666666667,0.2583333333333333,Positive
14,🏃‍♂️💨 Will 2 silence  when ENG meets FRA in the  quarter-finals?… ,2022-12-09 10:00:03+00:00,TweetDeck,0,0,0.0,0.0,Neutral
15,"It's quarter finals time! How quickly can you name this Brazil starting 11 from World Cup '98? 🇧🇷 

Comment with yo… ",2022-12-09 10:00:03+00:00,Twitter for Advertisers,0,0,0.3,0.16666666666666666,Positive
16,"🇭🇷 🆚 🇧🇷
🇳🇱 🆚 🇦🇷

Watch the FIFA World Cup Qatar 2022™ quarter-finals 𝗟𝗜𝗩𝗘 on beIN SPORTS!

FIFAWorldCup Qatar2022",2022-12-09 10:00:02+00:00,Twitter for Advertisers,0,2,0.0,0.0,Neutral
17,"🇧🇷 vs 🇭🇷
Toby is back with his quarter finals predictions 🐧

Do you think he will get it right?

Watch the FIFA… ",2022-12-09 10:00:02+00:00,Twitter Web App,0,1,0.26785714285714285,0.14285714285714285,Positive
18,": Another giveaway

Name the four countries that will qualify for the semi finals of the 2022 FIFA World Cup

First TEN…",2022-12-09 10:00:01+00:00,Twitter for Android,0,191,0.3333333333333333,0.25,Positive
19,"⚽️ The FIFAWorldCup Quarter-Finals kick-off with Croatia taking on Brazil and the Netherlands facing Argentina.
",2022-12-09 10:00:00+00:00,TweetDeck Web App,0,0,0.0,0.0,Neutral
20,"𝐐𝐮𝐚𝐫𝐭𝐞𝐫 𝐅𝐢𝐧𝐚𝐥𝐬 𝐭𝐢𝐦𝐞! 🔥

It's time for the World Cup Quarter Finals 💥

Although we are looking towards tomorrow we'v… ",2022-12-09 10:00:00+00:00,TweetDeck,0,0,0.0,0.0,Neutral
21,": World Cup quarter finals are on today🔥🔥

Croatia vs Brazil 6pm
Netherlands vs Argentina 10pm
Bet with  t…",2022-12-09 09:59:58+00:00,Twitter for iPhone,0,2,0.0,0.0,Neutral
22,": Good morning. Who better to look forward to these quarter finals, back to previous World Cup finals, talk Messi, Maradona, Mba…",2022-12-09 09:59:57+00:00,Twitter for iPhone,0,25,0.3166666666666667,0.2583333333333333,Positive
23,": Good morning. Who better to look forward to these quarter finals, back to previous World Cup finals, talk Messi, Maradona, Mba…",2022-12-09 09:59:47+00:00,Twitter for iPhone,0,25,0.3166666666666667,0.2583333333333333,Positive
24,": World Cup quarter-finals got us in the 🇧🇷 mood... 

_English  UCL TBT ",2022-12-09 09:59:46+00:00,Twitter for iPhone,0,114,0.0,0.0,Neutral
25,: World Cup - Quarter Finals ,2022-12-09 09:59:45+00:00,Twitter for Android,0,3,0.0,0.0,Neutral
26,616: The World Cup Quarter Finals begin today. ,2022-12-09 09:59:42+00:00,Twitter for iPhone,0,8,0.0,0.0,Neutral
27,"500: Today, the FIFA World Cup quarter-finals begin! ⚽️ 

Who’s going to the semi-finals? 🏆 

Croatia 🇭🇷 vs 🇧🇷 Brazil
Netherlands…",2022-12-09 09:59:18+00:00,Twitter for iPhone,0,150,0.0,0.0,Neutral
28,": 4th July 1998
World Cup 1/4 finals
🇦🇷 vs 🇳🇱
Do you remember ? ",2022-12-09 09:59:12+00:00,Twitter for Android,0,96,0.0,0.0,Neutral
29,": Another giveaway

Name the four countries that will qualify for the semi finals of the 2022 FIFA World Cup

First TEN…",2022-12-09 09:59:12+00:00,Twitter for Android,0,191,0.3333333333333333,0.25,Positive
30,": World Cup quarter finals are on today🔥🔥

Croatia vs Brazil 6pm
Netherlands vs Argentina 10pm
Bet with  t…",2022-12-09 09:59:03+00:00,Twitter for iPhone,0,2,0.0,0.0,Neutral
31,": Preview the games as the Quarter finals come knocking. Force of nature Mbappe, or virtuoso Messi, or the flair of Samba, or…",2022-12-09 09:58:56+00:00,Twitter for iPhone,0,2,0.0,0.0,Neutral
32,Quarter-Finals Preview - Qatar World Cup 2022  via ,2022-12-09 09:58:45+00:00,Twitter for iPhone,0,0,0.0,0.0,Neutral
33,@333Grotto: Feast your eyes upon this. If you made it through to the quarter-finals of the Grotto World Cup then you had the chance to c…,2022-12-09 09:58:26+00:00,Twitter for iPhone,0,4,0.0,0.0,Neutral
34,_:  Who would actually believe Ronaldo threatened to leave when he’s in the quarter finals of the World Cup 😂,2022-12-09 09:58:14+00:00,Twitter for Android,0,103,0.1,0.0,Neutral
35,"I have some tickets to the finals in the
FIFA WORLD CUP. tickets seated next to each other. Please kindly send a me… ",2022-12-09 09:57:59+00:00,Twitter for iPhone,0,0,0.425,0.15833333333333333,Positive
36,": 4th July 1998
World Cup 1/4 finals
🇦🇷 vs 🇳🇱
Do you remember ? ",2022-12-09 09:57:56+00:00,Twitter for Android,0,96,0.0,0.0,Neutral
37,": It's time for the World Cup quarter-finals! 🏆⚽️

Here's what we've got for you today ⤵️

BBCFootball BBCWorldCup ",2022-12-09 09:57:45+00:00,Twitter Web App,0,14,0.0,0.0,Neutral
38,": 4th July 1998
World Cup 1/4 finals
🇦🇷 vs 🇳🇱
Do you remember ? ",2022-12-09 09:57:39+00:00,Twitter for iPhone,0,96,0.0,0.0,Neutral
39,: World Cup - Quarter Finals ,2022-12-09 09:57:33+00:00,Twitter for Android,0,3,0.0,0.0,Neutral
